danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,k_cluster,id
0.576,0.534,-9.637,0.294,0.075,0.0,0.199,0.041,83.56,208096,0,01WOwxkxOw2FqNIHkraxcN
0.519,0.151,-20.193,0.0412,0.977,0.952,0.0972,0.342,141.725,190598,4,01Y1rFJpmKXucS9yNdwin0
0.541,0.318,-10.762,0.0453,0.836,1.22e-06,0.115,0.31,171.937,228920,2,01yXBrB0ddIzRaIfGk3ZrG
0.683,0.609,-7.611,0.0843,0.0564,0.0,0.221,0.714,83.953,201523,1,01zjFKZ2qDYDXJsNSmVm0i
0.641,0.28,-13.989,0.102,0.83,0.913,0.114,0.143,168.064,120007,2,01zns8ZvqSLL3gDvDiagZD
0.388,0.949,-5.992,0.0745,0.0162,0.17,0.756,0.51,116.574,499360,0,0218TveXJ1Qh0kLzA1KibC
0.675,0.729,-7.406,0.0893,0.265,0.014,0.128,0.675,161.852,259166,1,021RV4e0gnjDuUB5KxJ6Ck
0.476,0.776,-6.95,0.173,0.00155,0.0,0.464,0.247,139.969,213123,0,022KUgS0Q5c3MTePafMLai
0.784,0.204,-11.383,0.195,0.902,0.828,0.0941,0.469,75.988,138947,2,02312lZUztXbBFDXhzJbK1
0.78,0.68,-6.081,0.0305,0.141,1.2e-05,0.138,0.594,118.026,180560,1,023OVLNzXhX0j7CxswUt6D
0.44,0.389,-5.707,0.0279,0.854,4.4e-05,0.245,0.335,129.696,229990,2,023QtixKJRDnwRdeEJeMG2
0.691,0.844,-5.248,0.0317,0.00843,2.34e-05,0.111,0.677,117.03,173400,1,024NNN0rgQcelJ5oykcUTG
0.367,0.15,-16.867,0.064,0.983,0.0134,0.146,0.0397,133.978,604587,2,024svwQ3G4bxXzScL4E6qM
0.164,0.405,-15.022,0.0487,0.0632,0.912,0.284,0.0374,133.008,157147,4,025sQZThwyFTf1GaEC8mdm
0.83,0.557,-5.146,0.118,0.361,0.0,0.249,0.492,114.966,168640,1,026IC4Vj88QjLlnIPDExhz
